State,Year,Quarter,Registered_user,App_Open,Phone_Brand,Registered_user_by_Phone_Brand,Region
Andaman and Nicobar Islands,2018,1,6740,0,Xiaomi,1665,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Samsung,1445,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Vivo,982,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Oppo,501,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,OnePlus,332,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Realme,316,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Apple,229,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Motorola,226,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Lenovo,202,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Huawei,158,Southern Region
Andaman and Nicobar Islands,2018,1,6740,0,Others,684,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Xiaomi,2303,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Samsung,1923,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Vivo,1523,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Oppo,708,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,OnePlus,466,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Realme,465,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Motorola,319,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Apple,308,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Lenovo,244,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Huawei,230,Southern Region
Andaman and Nicobar Islands,2018,2,9405,0,Others,916,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Xiaomi,2950,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Samsung,2409,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Vivo,2063,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Oppo,988,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,OnePlus,617,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Realme,603,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Motorola,390,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Apple,371,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Huawei,314,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Lenovo,299,Southern Region
Andaman and Nicobar Islands,2018,3,12149,0,Others,1145,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Xiaomi,3719,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Samsung,2936,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Vivo,2742,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Oppo,1268,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Realme,760,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,OnePlus,721,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Motorola,474,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Apple,455,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Huawei,398,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Lenovo,377,Southern Region
Andaman and Nicobar Islands,2018,4,15222,0,Others,1372,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Xiaomi,4576,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Samsung,3567,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Vivo,3420,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Oppo,1600,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Realme,897,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,OnePlus,855,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Motorola,561,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Apple,515,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Huawei,515,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Lenovo,426,Southern Region
Andaman and Nicobar Islands,2019,1,18596,0,Others,1664,Southern Region
