State,District,Latitude,Longitude
Andaman and Nicobar Islands,North and Middle Andaman,11.55482845,92.23849
Andaman and Nicobar Islands,South Andaman,10.7056905,92.4874679
Andaman and Nicobar Islands,Nicobars,10.7056905,92.4874679
Andhra Pradesh,East Godavari,17.233496,81.7225986
Andhra Pradesh,Srikakulam,17.233496,81.7225986
Andhra Pradesh,Spsr Nellore,14.71875825,79.65961023
Andhra Pradesh,Vizianagaram,18.110744,83.386585
Andhra Pradesh,Visakhapatnam,18.110744,83.386585
Andhra Pradesh,Prakasam,15.2282086,79.8744994
Andhra Pradesh,Anantapur,15.2282086,79.8744994
Andhra Pradesh,Ysr,17.0771387,81.6653938
Andhra Pradesh,West Godavari,16.9550574,81.4530037
Andhra Pradesh,Kurnool,15.8344103,78.0499956
Andhra Pradesh,Chittoor,13.0108668,79.2249071
Andhra Pradesh,Guntur,13.0108668,79.2249071
Andhra Pradesh,Krishna,17.0347692,81.7819183
Arunachal Pradesh,Lower Dibang Valley,17.0347692,81.7819183
Arunachal Pradesh,Lower Subansiri,27.8,93.6
Arunachal Pradesh,Longding,27.8,93.6
Arunachal Pradesh,West Siang,28.4,94.55
Arunachal Pradesh,Kamle,28.4,94.55
Arunachal Pradesh,Upper Siang,28.6416983,95.0252232
Arunachal Pradesh,Tirap,27.5013437,96.5242944
Arunachal Pradesh,Papum Pare,27.5013437,96.5242944
Arunachal Pradesh,Kurung Kumey,27.98636765,93.15783469
Arunachal Pradesh,Siang,28.477492,94.81655729
Arunachal Pradesh,Lower Siang,28.477492,94.81655729
Arunachal Pradesh,Kra Daadi,27.9366293,92.6658618
Arunachal Pradesh,Changlang,27.272007,96.06552596
Arunachal Pradesh,Pakke Kessang,27.1061731,92.9311395
Arunachal Pradesh,Dibang Valley,28.8291044,95.95540958
Arunachal Pradesh,West Kameng,27.33862695,92.43336624
Arunachal Pradesh,East Siang,28.3,95.15
Arunachal Pradesh,Upper Subansiri,28.3,94
Arunachal Pradesh,East Kameng,27.55778095,92.96738427
Arunachal Pradesh,Lohit,28.0060625,96.2431946
Arunachal Pradesh,Lepa Rada,28.0060625,96.2431946
Arunachal Pradesh,Tawang,27.6741942,91.93620588
Arunachal Pradesh,Namsai,27.6741942,91.93620588
Arunachal Pradesh,Anjaw,28.1114301,96.82699963
Arunachal Pradesh,Shi Yomi,28.1114301,96.82699963
Assam,Tinsukia,27.5971709,95.56685292
Assam,Lakhimpur,27.2382645,94.1053145
Assam,Kamrup,26.2074223,91.6771799
Assam,Kokrajhar,26.2074223,91.6771799
Assam,Karbi Anglong,26,93.5
Assam,Sivasagar,26,93.5
Assam,Dibrugarh,27.4881672,95.3623358
Assam,South Salmara Mancachar,27.4881672,95.3623358
Assam,Nagaon,27.4881672,95.3623358
Assam,Dhubri,25.54325127,87.56949075
Assam,Golaghat,26.5305611,93.9603353
Assam,Udalguri,26.70472375,92.04215071
Assam,Majuli,26.70472375,92.04215071
Assam,Sonitpur,26.70472375,92.04215071
Assam,Hojai,26.70472375,92.04215071
