State,Year,Quarter,District,Total_Registered_User,Total_App_open,Latitude,Longitude,Region
Andaman and Nicobar Islands,2018,1,North and Middle Andaman,632,632,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,2,North and Middle Andaman,911,911,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,3,North and Middle Andaman,1208,1208,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,4,North and Middle Andaman,1553,1553,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,1,North and Middle Andaman,2013,2013,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,2,North and Middle Andaman,2417,2417,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,3,North and Middle Andaman,2662,2662,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2019,4,North and Middle Andaman,2955,2955,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,1,North and Middle Andaman,3315,3315,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,2,North and Middle Andaman,4100,4100,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,3,North and Middle Andaman,5355,5355,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2020,4,North and Middle Andaman,7076,7076,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,1,North and Middle Andaman,7833,7833,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,2,North and Middle Andaman,8493,8493,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,3,North and Middle Andaman,9263,9263,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2021,4,North and Middle Andaman,10002,10002,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,1,North and Middle Andaman,10720,10720,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,2,North and Middle Andaman,11379,11379,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,3,North and Middle Andaman,11897,11897,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2022,4,North and Middle Andaman,12361,12361,11.55482845,92.23849,Southern Region
Andaman and Nicobar Islands,2018,1,South Andaman,5846,5846,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,South Andaman,8143,8143,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,South Andaman,10474,10474,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,South Andaman,13133,13133,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,South Andaman,15961,15961,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,South Andaman,18621,18621,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,South Andaman,20518,20518,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,South Andaman,22202,22202,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,South Andaman,24174,24174,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,2,South Andaman,27626,27626,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,3,South Andaman,34833,34833,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,4,South Andaman,43908,43908,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,1,South Andaman,48352,48352,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,2,South Andaman,51903,51903,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,3,South Andaman,55873,55873,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,4,South Andaman,59807,59807,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,1,South Andaman,63487,63487,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,2,South Andaman,66959,66959,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,3,South Andaman,70445,70445,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,4,South Andaman,73692,73692,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,1,Nicobars,262,262,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,2,Nicobars,351,351,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,3,Nicobars,467,467,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2018,4,Nicobars,536,536,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,1,Nicobars,622,622,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,2,Nicobars,693,693,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,3,Nicobars,751,751,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2019,4,Nicobars,803,803,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,1,Nicobars,879,879,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,2,Nicobars,984,984,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,3,Nicobars,1147,1147,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2020,4,Nicobars,1412,1412,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,1,Nicobars,1573,1573,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,2,Nicobars,1699,1699,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,3,Nicobars,1846,1846,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2021,4,Nicobars,1971,1971,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,1,Nicobars,2081,2081,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,2,Nicobars,2192,2192,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,3,Nicobars,2300,2300,10.7056905,92.4874679,Southern Region
Andaman and Nicobar Islands,2022,4,Nicobars,2389,2389,10.7056905,92.4874679,Southern Region
Andhra Pradesh,2018,1,East Godavari,350356,350356,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,East Godavari,454398,454398,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,East Godavari,558982,558982,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,East Godavari,694455,694455,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,East Godavari,839277,839277,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,East Godavari,945181,945181,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,East Godavari,1057167,1057167,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,East Godavari,1195228,1195228,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,East Godavari,1329664,1329664,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,East Godavari,1459116,1459116,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,East Godavari,1601940,1601940,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,East Godavari,1746280,1746280,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,East Godavari,1878769,1878769,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,East Godavari,2006272,2006272,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,East Godavari,2150622,2150622,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,East Godavari,2294347,2294347,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,1,East Godavari,2432305,2432305,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,2,East Godavari,2564165,2564165,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,3,East Godavari,2702234,2702234,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,4,East Godavari,2835087,2835087,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Srikakulam,143839,143839,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Srikakulam,186913,186913,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,3,Srikakulam,228456,228456,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,4,Srikakulam,284874,284874,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,1,Srikakulam,345775,345775,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,2,Srikakulam,392764,392764,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,3,Srikakulam,437939,437939,17.233496,81.7225986,Southern Region
Andhra Pradesh,2019,4,Srikakulam,496266,496266,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,1,Srikakulam,552007,552007,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,2,Srikakulam,608002,608002,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,3,Srikakulam,667858,667858,17.233496,81.7225986,Southern Region
Andhra Pradesh,2020,4,Srikakulam,726761,726761,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,1,Srikakulam,782604,782604,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,2,Srikakulam,837958,837958,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,3,Srikakulam,902008,902008,17.233496,81.7225986,Southern Region
Andhra Pradesh,2021,4,Srikakulam,965335,965335,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,1,Srikakulam,1027283,1027283,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,2,Srikakulam,1086164,1086164,17.233496,81.7225986,Southern Region
Andhra Pradesh,2022,3,Srikakulam,1147016,1147016,17.233496,81.7225986,Southern Region
